data,campanha,canal,impressoes,cliques,gasto,conversoes,receita
2026-06-01,Black Friday - Roupas,Meta Ads,7770,224,290.14,14,3376.09
2026-06-01,Black Friday - Roupas,Google Ads,6765,65,62.19,4,969.2
2026-06-01,Institucional - Marca,Meta Ads,8822,49,167.52,3,411.99
2026-06-01,Institucional - Marca,Google Ads,5811,202,498.37,10,819.08
2026-06-01,Remarketing - Carrinho Abandonado,Meta Ads,11596,159,389.87,3,476.64
2026-06-01,Remarketing - Carrinho Abandonado,Google Ads,9667,115,120.13,6,1099.59
2026-06-01,Lançamento - Coleção Verão,Meta Ads,1767,40,37.02,2,252.08
2026-06-01,Lançamento - Coleção Verão,Google Ads,5893,197,671.22,13,2109.19
2026-06-01,Promoção - Frete Grátis,Meta Ads,3112,37,53.68,2,489.4
2026-06-01,Promoção - Frete Grátis,Google Ads,1275,7,22.79,0,0.0
2026-06-02,Black Friday - Roupas,Meta Ads,3573,63,85.77,3,265.36
2026-06-02,Black Friday - Roupas,Google Ads,7373,136,253.9,10,2763.63
2026-06-02,Institucional - Marca,Meta Ads,12034,92,122.28,1,167.84
2026-06-02,Institucional - Marca,Google Ads,7363,201,453.69,10,3406.19
2026-06-02,Remarketing - Carrinho Abandonado,Meta Ads,6831,145,171.17,9,901.16
2026-06-02,Remarketing - Carrinho Abandonado,Google Ads,8506,150,279.93,4,335.21
2026-06-02,Lançamento - Coleção Verão,Meta Ads,6118,160,442.93,10,999.92
2026-06-02,Lançamento - Coleção Verão,Google Ads,10970,269,879.74,18,3624.33
2026-06-02,Promoção - Frete Grátis,Meta Ads,3604,24,39.35,0,0.0
2026-06-02,Promoção - Frete Grátis,Google Ads,14683,194,449.18,7,2396.54
2026-06-03,Black Friday - Roupas,Meta Ads,11382,316,731.68,20,4266.5
2026-06-03,Black Friday - Roupas,Google Ads,4988,131,144.02,5,672.32
2026-06-03,Institucional - Marca,Meta Ads,1363,32,52.76,1,325.04
2026-06-03,Institucional - Marca,Google Ads,8074,186,419.91,4,1338.28
2026-06-03,Remarketing - Carrinho Abandonado,Meta Ads,10414,269,854.68,14,2237.5
2026-06-03,Remarketing - Carrinho Abandonado,Google Ads,11752,366,1086.99,8,2567.93
2026-06-03,Lançamento - Coleção Verão,Meta Ads,5950,87,98.28,3,974.53
2026-06-03,Lançamento - Coleção Verão,Google Ads,14196,168,328.14,11,3436.37
2026-06-03,Promoção - Frete Grátis,Meta Ads,8026,79,177.12,3,800.87
2026-06-03,Promoção - Frete Grátis,Google Ads,14045,212,709.32,6,1320.44
2026-06-04,Black Friday - Roupas,Meta Ads,3804,65,63.39,1,146.66
2026-06-04,Black Friday - Roupas,Google Ads,12149,320,383.95,25,3800.77
2026-06-04,Institucional - Marca,Meta Ads,12789,256,240.38,7,2276.62
2026-06-04,Institucional - Marca,Google Ads,12166,309,690.16,12,2751.37
2026-06-04,Remarketing - Carrinho Abandonado,Meta Ads,5431,40,71.92,1,296.85
2026-06-04,Remarketing - Carrinho Abandonado,Google Ads,8504,203,509.64,9,939.4
2026-06-04,Lançamento - Coleção Verão,Meta Ads,9300,88,191.15,5,1558.78
2026-06-04,Lançamento - Coleção Verão,Google Ads,3311,83,70.12,3,423.46
2026-06-04,Promoção - Frete Grátis,Meta Ads,3411,26,86.82,0,0.0
2026-06-04,Promoção - Frete Grátis,Google Ads,11611,105,180.69,1,329.67
2026-06-05,Black Friday - Roupas,Meta Ads,4561,118,167.22,2,690.37
2026-06-05,Black Friday - Roupas,Google Ads,12335,158,551.4,12,2768.87
2026-06-05,Institucional - Marca,Meta Ads,13971,335,574.65,11,3036.09
2026-06-05,Institucional - Marca,Google Ads,1654,50,94.61,3,929.25
2026-06-05,Remarketing - Carrinho Abandonado,Meta Ads,2148,21,67.75,1,82.48
2026-06-05,Remarketing - Carrinho Abandonado,Google Ads,3057,101,346.32,3,487.34
2026-06-05,Lançamento - Coleção Verão,Meta Ads,12469,321,821.85,8,2178.31
2026-06-05,Lançamento - Coleção Verão,Google Ads,7444,147,188.57,5,1404.63
2026-06-05,Promoção - Frete Grátis,Meta Ads,1718,42,98.05,0,0.0
2026-06-05,Promoção - Frete Grátis,Google Ads,3946,49,117.24,3,634.26
2026-06-06,Black Friday - Roupas,Meta Ads,6395,153,450.74,6,1414.58
2026-06-06,Black Friday - Roupas,Google Ads,9651,298,423.61,13,3047.73
2026-06-06,Institucional - Marca,Meta Ads,14003,341,435.87,25,8439.02
2026-06-06,Institucional - Marca,Google Ads,3944,124,349.54,9,1523.72
2026-06-06,Remarketing - Carrinho Abandonado,Meta Ads,801,27,91.85,1,159.5
2026-06-06,Remarketing - Carrinho Abandonado,Google Ads,1480,15,22.87,0,0.0
2026-06-06,Lançamento - Coleção Verão,Meta Ads,6354,192,635.72,2,272.82
2026-06-06,Lançamento - Coleção Verão,Google Ads,4514,156,183.8,7,2218.24
2026-06-06,Promoção - Frete Grátis,Meta Ads,1284,39,45.59,2,458.52
2026-06-06,Promoção - Frete Grátis,Google Ads,6301,184,549.66,13,4245.47
2026-06-07,Black Friday - Roupas,Meta Ads,6125,31,77.35,0,0.0
2026-06-07,Black Friday - Roupas,Google Ads,8673,250,800.75,8,1451.26
2026-06-07,Institucional - Marca,Meta Ads,13621,247,645.77,8,974.89
2026-06-07,Institucional - Marca,Google Ads,11953,162,388.03,1,90.08
2026-06-07,Remarketing - Carrinho Abandonado,Meta Ads,13625,192,432.02,6,1821.15
2026-06-07,Remarketing - Carrinho Abandonado,Google Ads,6191,71,176.21,1,93.95
2026-06-07,Lançamento - Coleção Verão,Meta Ads,7527,130,349.53,2,231.68
2026-06-07,Lançamento - Coleção Verão,Google Ads,4965,101,168.87,6,918.75
2026-06-07,Promoção - Frete Grátis,Meta Ads,12367,337,497.86,7,712.85
2026-06-07,Promoção - Frete Grátis,Google Ads,1650,42,79.98,0,0.0
2026-06-08,Black Friday - Roupas,Meta Ads,11541,140,147.48,3,997.04
2026-06-08,Black Friday - Roupas,Google Ads,13684,460,1284.47,22,5393.62
2026-06-08,Institucional - Marca,Meta Ads,10986,70,162.98,1,112.44
2026-06-08,Institucional - Marca,Google Ads,12048,102,94.27,1,310.97
2026-06-08,Remarketing - Carrinho Abandonado,Meta Ads,11751,120,101.56,7,2085.07
2026-06-08,Remarketing - Carrinho Abandonado,Google Ads,10327,105,207.0,3,738.84
2026-06-08,Lançamento - Coleção Verão,Meta Ads,3349,42,35.34,3,645.84
2026-06-08,Lançamento - Coleção Verão,Google Ads,9707,240,297.58,3,760.36
2026-06-08,Promoção - Frete Grátis,Meta Ads,13284,412,1037.54,27,7096.56
2026-06-08,Promoção - Frete Grátis,Google Ads,12438,302,615.26,14,4678.74
2026-06-09,Black Friday - Roupas,Meta Ads,8502,251,642.31,6,923.82
2026-06-09,Black Friday - Roupas,Google Ads,4607,36,30.57,0,0.0
2026-06-09,Institucional - Marca,Meta Ads,11588,285,524.56,16,2751.5
2026-06-09,Institucional - Marca,Google Ads,8806,118,132.05,6,1498.89
2026-06-09,Remarketing - Carrinho Abandonado,Meta Ads,912,5,9.64,0,0.0
2026-06-09,Remarketing - Carrinho Abandonado,Google Ads,6488,178,530.16,14,2679.69
2026-06-09,Lançamento - Coleção Verão,Meta Ads,5573,69,163.36,4,926.82
2026-06-09,Lançamento - Coleção Verão,Google Ads,12543,224,633.33,14,1509.81
2026-06-09,Promoção - Frete Grátis,Meta Ads,14084,296,633.65,11,1763.98
2026-06-09,Promoção - Frete Grátis,Google Ads,7686,128,106.15,9,941.83
2026-06-10,Black Friday - Roupas,Meta Ads,3002,101,265.36,4,852.47
2026-06-10,Black Friday - Roupas,Google Ads,8835,163,259.44,5,1307.9
2026-06-10,Institucional - Marca,Meta Ads,8151,272,791.38,4,1325.4
2026-06-10,Institucional - Marca,Google Ads,5805,39,89.07,1,319.68
2026-06-10,Remarketing - Carrinho Abandonado,Meta Ads,4830,126,430.34,7,2141.86
2026-06-10,Remarketing - Carrinho Abandonado,Google Ads,7556,60,61.63,3,298.94
2026-06-10,Lançamento - Coleção Verão,Meta Ads,11685,371,443.65,17,2430.52
2026-06-10,Lançamento - Coleção Verão,Google Ads,12411,201,361.95,13,4364.84
2026-06-10,Promoção - Frete Grátis,Meta Ads,4812,109,190.27,6,1260.3
2026-06-10,Promoção - Frete Grátis,Google Ads,3423,74,143.96,5,550.12
2026-06-11,Black Friday - Roupas,Meta Ads,12214,154,291.68,7,1960.44
2026-06-11,Black Friday - Roupas,Google Ads,9147,77,196.57,4,950.04
2026-06-11,Institucional - Marca,Meta Ads,12977,220,459.76,3,667.98
2026-06-11,Institucional - Marca,Google Ads,13928,472,393.09,36,3299.51
2026-06-11,Remarketing - Carrinho Abandonado,Meta Ads,13960,87,286.8,6,889.84
2026-06-11,Remarketing - Carrinho Abandonado,Google Ads,14470,493,1090.7,26,6964.16
2026-06-11,Lançamento - Coleção Verão,Meta Ads,3986,139,372.76,5,1395.09
2026-06-11,Lançamento - Coleção Verão,Google Ads,7614,102,343.34,7,1421.19
2026-06-11,Promoção - Frete Grátis,Meta Ads,1167,17,21.39,0,0.0
2026-06-11,Promoção - Frete Grátis,Google Ads,7983,179,180.77,13,4501.6
2026-06-12,Black Friday - Roupas,Meta Ads,7602,160,261.72,10,2648.77
2026-06-12,Black Friday - Roupas,Google Ads,1424,12,12.07,0,0.0
2026-06-12,Institucional - Marca,Meta Ads,5304,124,239.23,9,2824.54
2026-06-12,Institucional - Marca,Google Ads,13664,135,257.9,8,1677.6
2026-06-12,Remarketing - Carrinho Abandonado,Meta Ads,14050,133,319.75,4,1367.51
2026-06-12,Remarketing - Carrinho Abandonado,Google Ads,7438,164,159.32,2,232.28
2026-06-12,Lançamento - Coleção Verão,Meta Ads,904,6,18.81,0,0.0
2026-06-12,Lançamento - Coleção Verão,Google Ads,6489,210,499.78,12,3412.94
2026-06-12,Promoção - Frete Grátis,Meta Ads,4678,58,116.96,1,337.59
2026-06-12,Promoção - Frete Grátis,Google Ads,1216,13,41.23,0,0.0
2026-06-13,Black Friday - Roupas,Meta Ads,14930,125,326.66,5,1442.63
2026-06-13,Black Friday - Roupas,Google Ads,12654,180,540.76,13,1350.31
2026-06-13,Institucional - Marca,Meta Ads,5358,91,105.73,1,283.89
2026-06-13,Institucional - Marca,Google Ads,7496,181,538.23,13,3206.6
2026-06-13,Remarketing - Carrinho Abandonado,Meta Ads,7381,114,272.78,4,792.47
2026-06-13,Remarketing - Carrinho Abandonado,Google Ads,13234,354,806.45,14,4561.58
2026-06-13,Lançamento - Coleção Verão,Meta Ads,5137,121,378.53,9,1077.39
2026-06-13,Lançamento - Coleção Verão,Google Ads,6827,206,592.47,3,277.15
