data,campanha,canal,impressoes,cliques,gasto,conversoes,receita
2026-07-16,Institucional - Marca,Meta Ads,11351,128,132.53,0,0.0
2026-08-27,Black Friday - Roupas,Google Ads,4895,165,529.47,10,2454.04
2026-07-08,Institucional - Marca,Google Ads,12765,129,368.83,1,192.38
2026-08-12,Lançamento - Coleção Verão,Meta Ads,8041,181,284.76,4,431.74
2026-07-28,Black Friday - Roupas,Google Ads,3895,90,207.08,5,733.64
2026-08-01,Lançamento - Coleção Verão,Google Ads,8097,237,501.26,10,1706.26
2026-06-06,Black Friday - Roupas,Google Ads,13193,395,1142.89,22,3202.61
2026-08-08,Promoção - Frete Grátis,Google Ads,13211,300,869.88,10,1215.97
2026-08-20,Promoção - Frete Grátis,Meta Ads,13690,355,557.71,21,2609.09
2026-07-06,Black Friday - Roupas,Google Ads,11903,320,1005.65,22,3712.45
2026-06-09,Remarketing - Carrinho Abandonado,Meta Ads,8109,258,611.9,38,10992.87
2026-07-25,Promoção - Frete Grátis,Meta Ads,1245,26,39.5,1,170.43
2026-08-17,Black Friday - Roupas,Meta Ads,10032,221,623.11,9,1788.66
2026-08-05,Institucional - Marca,Google Ads,8712,122,301.67,1,170.56
2026-08-03,Lançamento - Coleção Verão,Meta Ads,8082,153,359.05,6,1061.95
2026-08-01,Remarketing - Carrinho Abandonado,Google Ads,1720,53,75.94,6,1258.4
2026-06-27,Promoção - Frete Grátis,Google Ads,2775,83,190.58,4,379.42
2026-06-27,Remarketing - Carrinho Abandonado,Meta Ads,9003,459,1229.67,58,14973.53
2026-06-03,Lançamento - Coleção Verão,Google Ads,13661,365,1136.55,7,1114.71
2026-06-07,Black Friday - Roupas,Google Ads,6937,166,,10,1620.47
2026-08-28,Institucional - Marca,Google Ads,9058,74,219.02,0,0.0
2026-06-10,Institucional - Marca,Meta Ads,8397,51,129.8,0,0.0
2026-06-08,Institucional - Marca,Google Ads,1711,22,20.69,0,0.0
2026-08-13,Black Friday - Roupas,Meta Ads,14886,413,876.02,20,3967.48
2026-08-12,Institucional - Marca,Google Ads,11586,148,325.12,1,98.04
2026-08-16,Black Friday - Roupas,Meta Ads,2918,96,208.66,6,892.33
2026-06-10,Black Friday - Roupas,Google Ads,3858,134,432.09,8,1997.83
2026-06-09,Black Friday - Roupas,Google Ads,9518,266,468.95,14,1976.54
2026-06-09,Remarketing - Carrinho Abandonado,Google Ads,8010,326,1132.12,40,8407.09
2026-06-21,Black Friday - Roupas,Google Ads,11382,390,536.35,20,4334.22
2026-07-23,Lançamento - Coleção Verão,Google Ads,2959,57,131.4,2,316.37
2026-07-06,Lançamento - Coleção Verão,Google Ads,9728,229,751.43,11,1799.07
2026-06-07,Remarketing - Carrinho Abandonado,Google Ads,10248,503,1709.89,74,14091.25
2026-08-02,Promoção - Frete Grátis,Meta Ads,1203,29,62.57,1,72.98
2026-08-03,Remarketing - Carrinho Abandonado,Google Ads,11335,479,1203.99,52,12727.3
2026-07-08,Promoção - Frete Grátis,Meta Ads,12872,260,551.8,13,1342.9
2026-08-12,Black Friday - Roupas,Google Ads,7789,244,535.59,16,1912.63
2026-07-21,Lançamento - Coleção Verão,Meta Ads,4133,80,212.41,1,101.22
2026-06-24,Promoção - Frete Grátis,Google Ads,7069,174,558.3,7,910.56
2026-08-13,Lançamento - Coleção Verão,Google Ads,1119,27,76.3,0,0.0
