Relatório de campanhas
leofelipesc@gmail.com
1 de jun. de 2026 - 28 de ago. de 2026

Dia,Campanha,Impr.,Cliques,CTR,CPC méd.,Custo,Conversões,Custo / conv.,Taxa de conv.
01/06/2026,Black Friday - Roupas,10.637,227,"2,13%","R$ 2,59","R$ 589,01",10,"R$ 58,90","4,41%"
01/06/2026,Institucional - Marca,9.024,83,"0,92%","R$ 2,11","R$ 175,18",0,-,"0,00%"
01/06/2026,Remarketing - Carrinho Abandonado,9.380,513,"5,47%","R$ 1,05","R$ 538,95",72,"R$ 7,49","14,04%"
01/06/2026,Lançamento - Coleção Verão,7.190,119,"1,66%","R$ 3,21","R$ 382,41",5,"R$ 76,48","4,20%"
01/06/2026,Promoção - Frete Grátis,8.136,252,"3,10%","R$ 2,62","R$ 659,18",14,"R$ 47,08","5,56%"
02/06/2026,Black Friday - Roupas,1.850,48,"2,59%","R$ 1,23","R$ 58,87",3,"R$ 19,62","6,25%"
02/06/2026,Institucional - Marca,3.595,30,"0,83%","R$ 1,66","R$ 49,82",0,-,"0,00%"
02/06/2026,Remarketing - Carrinho Abandonado,13.839,479,"3,46%","R$ 2,89","R$ 1.385,29",54,"R$ 25,65","11,27%"
02/06/2026,Lançamento - Coleção Verão,13.748,305,"2,22%","R$ 1,88","R$ 574,78",13,"R$ 44,21","4,26%"
02/06/2026,Promoção - Frete Grátis,14.505,485,"3,34%","R$ 0,99","R$ 478,48",21,"R$ 22,78","4,33%"
03/06/2026,Black Friday - Roupas,5.751,228,"3,96%","R$ 1,71","R$ 390,51",10,"R$ 39,05","4,39%"
03/06/2026,Institucional - Marca,14.484,130,"0,90%","R$ 0,92","R$ 119,09",0,-,"0,00%"
03/06/2026,Remarketing - Carrinho Abandonado,6.063,239,"3,94%","R$ 0,99","R$ 236,62",23,"R$ 10,29","9,62%"
03/06/2026,Lançamento - Coleção Verão,4.899,123,"2,51%","R$ 3,47","R$ 426,60",4,"R$ 106,65","3,25%"
03/06/2026,Promoção - Frete Grátis,1.429,41,"2,87%","R$ 1,78","R$ 72,82",1,"R$ 72,82","2,44%"
04/06/2026,Black Friday - Roupas,8.711,301,"3,46%","R$ 0,97","R$ 291,91",12,"R$ 24,33","3,99%"
04/06/2026,Institucional - Marca,9.532,122,"1,28%","R$ 1,38","R$ 168,36",1,"R$ 168,36","0,82%"
